name,id,hp,attack,defense,spAttack,spDefense,speed,bst,type1,type2,abilities,passive,evolution line
Mega Latias,380,80,100,120,140,150,110,700,Dragon,Psychic,Levitate,Prism Armor,"Latias, Mega Latias"
Latios,381,80,90,80,130,110,110,600,Dragon,Psychic,Levitate,Neuroforce,"Latios, Mega Latios"
Mega Latios,381,80,130,100,160,120,110,700,Dragon,Psychic,Levitate,Neuroforce,"Latios, Mega Latios"
Kyogre,382,100,100,90,150,140,90,670,Water,,Drizzle,Mold Breaker,"Kyogre, Primal Kyogre"
Primal Kyogre,382,100,150,90,180,160,90,770,Water,,Primordial Sea,Teravolt,"Kyogre, Primal Kyogre"
Groudon,383,100,150,140,100,90,90,670,Ground,,Drought,Mold Breaker,"Groudon, Primal Groudon"
Primal Groudon,383,100,180,160,150,90,90,770,Ground,Fire,Desolate Land,Turboblaze,"Groudon, Primal Groudon"
Rayquaza,384,105,150,90,150,90,95,680,Dragon,Flying,Air Lock,Unnerve,"Rayquaza, Mega Rayquaza"
Mega Rayquaza,384,105,180,100,180,100,115,780,Dragon,Flying,Delta Stream,Unnerve,"Rayquaza, Mega Rayquaza"
Jirachi,385,100,100,100,100,100,100,600,Steel,Psychic,Serene Grace,Purifying Salt,Jirachi
Normal Deoxys,386,50,150,50,150,50,150,600,Psychic,,Pressure,Protean,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys"
Attack Deoxys,386,50,180,20,180,20,150,600,Psychic,,Pressure,Adaptability,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys"
Defense Deoxys,386,50,70,160,70,160,90,600,Psychic,,Pressure,Regenerator,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys"
Speed Deoxys,386,50,95,90,95,90,180,600,Psychic,,Pressure,Shadow Shield,"Normal Deoxys, Attack Deoxys, Defense Deoxys, Speed Deoxys"
Turtwig,387,55,68,64,45,55,31,318,Grass,,"Overgrow, Shell Armor",Solid Rock,"Turtwig, Grotle, Torterra"
Grotle,388,75,89,85,55,65,36,405,Grass,,"Overgrow, Shell Armor",Solid Rock,"Turtwig, Grotle, Torterra"
Torterra,389,95,109,105,75,85,56,525,Grass,Ground,"Overgrow, Shell Armor",Thick Fat,"Turtwig, Grotle, Torterra"
Chimchar,390,44,58,44,58,44,61,309,Fire,,"Blaze, Iron Fist",Defiant,"Chimchar, Monferno, Infernape"
Monferno,391,64,78,52,78,52,81,405,Fire,Fighting,"Blaze, Iron Fist",Defiant,"Chimchar, Monferno, Infernape"
Infernape,392,76,104,71,104,71,108,534,Fire,Fighting,"Blaze, Iron Fist",Battle Bond,"Chimchar, Monferno, Infernape"
Piplup,393,53,51,53,61,56,40,314,Water,,"Torrent, Competitive",Cute Charm,"Piplup, Prinplup, Empoleon"
Prinplup,394,64,66,68,81,76,50,405,Water,,"Torrent, Competitive",Drizzle,"Piplup, Prinplup, Empoleon"
Empoleon,395,84,86,88,111,101,60,530,Water,Steel,"Torrent, Competitive",Drizzle,"Piplup, Prinplup, Empoleon"
Starly,396,40,55,30,30,30,60,245,Normal,Flying,"Keen Eye, Reckless",Intimidate,"Starly, Staravia, Staraptor"
Staravia,397,55,75,50,40,40,80,340,Normal,Flying,"Intimidate, Reckless",Rock Head,"Starly, Staravia, Staraptor"
Staraptor,398,85,120,70,50,60,100,485,Normal,Flying,"Intimidate, Reckless",Rock Head,"Starly, Staravia, Staraptor"
Bidoof,399,59,45,40,35,40,31,250,Normal,,"Simple, Unaware, Moody",Sap Sipper,"Bidoof, Bibarel"
Bibarel,400,79,85,60,55,60,71,410,Normal,Water,"Simple, Unaware, Moody",Sap Sipper,"Bidoof, Bibarel"
Kricketot,401,37,25,41,25,41,25,194,Bug,,"Shed Skin, Run Away",Honey Gather,"Kricketot, Kricketune"
Kricketune,402,77,85,51,55,51,65,384,Bug,,"Swarm, Technician",Sharpness,"Kricketot, Kricketune"
Shinx,403,45,65,34,40,34,45,263,Electric,,"Rivalry, Intimidate, Guts",Speed Boost,"Shinx, Luxio, Luxray"
Luxio,404,60,85,49,60,49,60,363,Electric,,"Rivalry, Intimidate, Guts",Speed Boost,"Shinx, Luxio, Luxray"
Luxray,405,80,120,79,95,79,70,523,Electric,,"Rivalry, Intimidate, Guts",Speed Boost,"Shinx, Luxio, Luxray"
Budew,406,40,30,35,50,70,55,280,Grass,Poison,"Natural Cure, Poison Point, Leaf Guard",Seed Sower,"Roselia, Budew, Roserade"
Roserade,407,60,70,65,125,105,90,515,Grass,Poison,"Natural Cure, Poison Point, Technician",Grassy Surge,"Roselia, Budew, Roserade"
Cranidos,408,67,125,40,30,30,58,350,Rock,,"Mold Breaker, Sheer Force",Rock Head,"Cranidos, Rampardos"
Rampardos,409,97,165,60,65,50,58,495,Rock,,"Mold Breaker, Sheer Force",Rock Head,"Cranidos, Rampardos"
Shieldon,410,30,42,118,42,88,30,350,Rock,Steel,"Sturdy, Soundproof",Earth Eater,"Shieldon, Bastiodon"
Bastiodon,411,60,52,168,47,138,30,495,Rock,Steel,"Sturdy, Soundproof",Earth Eater,"Shieldon, Bastiodon"
Plant Burmy,412,40,29,45,29,45,36,224,Bug,,"Shed Skin, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim"
Sandy Burmy,412,40,29,45,29,45,36,224,Bug,,"Shed Skin, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim"
Trash Burmy,412,40,29,45,29,45,36,224,Bug,,"Shed Skin, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim"
Plant Wormadam,413,60,59,85,79,105,36,424,Bug,Grass,"Anticipation, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim"
Sandy Wormadam,413,60,79,105,59,85,36,424,Bug,Ground,"Anticipation, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim"
Trash Wormadam,413,60,69,95,69,95,36,424,Bug,Steel,"Anticipation, Overcoat",Sturdy,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim"
Mothim,414,70,94,50,94,50,66,424,Bug,Flying,"Swarm, Tinted Lens",Speed Boost,"Plant Burmy, Sandy Burmy, Trash Burmy, Plant Wormadam, Sandy Wormadam, Trash Wormadam, Mothim"
Combee,415,30,30,42,30,42,70,244,Bug,Flying,"Honey Gather, Hustle",Run Away,"Combee, Vespiquen"
Vespiquen,416,70,80,102,80,102,40,474,Bug,Flying,"Pressure, Unnerve",Intimidate,"Combee, Vespiquen"
Pachirisu,417,60,45,70,45,90,95,405,Electric,,"Run Away, Pickup, Volt Absorb",Honey Gather,Pachirisu
Buizel,418,55,65,35,60,30,85,330,Water,,"Swift Swim, Water Veil",Moxie,"Buizel, Floatzel"
Floatzel,419,85,105,55,85,50,115,495,Water,,"Swift Swim, Water Veil",Moxie,"Buizel, Floatzel"
Cherubi,420,45,35,45,62,53,35,275,Grass,,Chlorophyll,Drought,"Cherubi, Overcast Cherrim, Sunshine Cherrim"
Overcast Cherrim,421,70,60,70,87,78,85,450,Grass,,Flower Gift,Drought,"Cherubi, Overcast Cherrim, Sunshine Cherrim"
Sunshine Cherrim,421,70,60,70,87,78,85,450,Grass,,Flower Gift,Chlorophyll,"Cherubi, Overcast Cherrim, Sunshine Cherrim"
East Shellos,422,76,48,48,57,62,34,325,Water,,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon"
West Shellos,422,76,48,48,57,62,34,325,Water,,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon"
East Gastrodon,423,111,83,68,92,82,39,475,Water,Ground,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon"
West Gastrodon,423,111,83,68,92,82,39,475,Water,Ground,"Sticky Hold, Storm Drain, Sand Force",Regenerator,"East Shellos, West Shellos, East Gastrodon, West Gastrodon"
Ambipom,424,75,100,66,60,66,115,482,Normal,,"Technician, Pickup, Skill Link",Scrappy,"Aipom, Ambipom"
Drifloon,425,90,50,34,60,44,70,348,Ghost,Flying,"Aftermath, Unburden, Flare Boost",Magic Guard,"Drifloon, Drifblim"
Drifblim,426,150,80,44,90,54,80,498,Ghost,Flying,"Aftermath, Unburden, Flare Boost",Magic Guard,"Drifloon, Drifblim"
Buneary,427,55,66,44,44,56,85,350,Normal,,"Run Away, Klutz, Limber",Adaptability,"Buneary, Lopunny, Mega Lopunny"
Lopunny,428,65,76,84,54,96,105,480,Normal,,"Cute Charm, Klutz, Limber",Adaptability,"Buneary, Lopunny, Mega Lopunny"
Mega Lopunny,428,65,136,94,54,96,135,580,Normal,Fighting,Scrappy,Adaptability,"Buneary, Lopunny, Mega Lopunny"
Mismagius,429,60,60,60,105,105,105,495,Ghost,,Levitate,Beads Of Ruin,"Misdreavus, Mismagius"
Honchkrow,430,100,125,52,105,52,71,505,Dark,Flying,"Insomnia, Super Luck, Moxie",Intimidate,"Murkrow, Honchkrow"
Glameow,431,49,55,42,42,37,85,310,Normal,,"Limber, Own Tempo, Keen Eye",Intimidate,"Glameow, Purugly"
Purugly,432,71,82,64,64,59,112,452,Normal,,"Thick Fat, Own Tempo, Defiant",Intimidate,"Glameow, Purugly"
Chingling,433,45,30,50,65,50,45,285,Psychic,,Levitate,Punk Rock,"Chimecho, Chingling"
Stunky,434,63,63,47,41,41,74,329,Poison,Dark,"Stench, Aftermath, Keen Eye",Neutralizing Gas,"Stunky, Skuntank"
Skuntank,435,103,93,67,71,61,84,479,Poison,Dark,"Stench, Aftermath, Keen Eye",Neutralizing Gas,"Stunky, Skuntank"
Bronzor,436,57,24,86,24,86,23,300,Steel,Psychic,"Levitate, Heatproof, Heavy Metal",Mirror Armor,"Bronzor, Bronzong"
Bronzong,437,67,89,116,79,116,33,500,Steel,Psychic,"Levitate, Heatproof, Heavy Metal",Mirror Armor,"Bronzor, Bronzong"
Bonsly,438,50,80,95,10,45,10,290,Rock,,"Sturdy, Rock Head, Rattled",Sap Sipper,"Sudowoodo, Bonsly"
Mime Jr,439,20,25,45,70,90,60,310,Psychic,Fairy,"Soundproof, Filter, Technician",Prankster,"Mr Mime, Mime Jr, Mr Rime, Galar Mr Mime"
Happiny,440,100,5,5,15,65,30,220,Normal,,"Natural Cure, Serene Grace, Friend Guard",Hospitality,"Chansey, Blissey, Happiny"
Chatot,441,76,65,45,92,42,91,411,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Punk Rock,Chatot
Spiritomb,442,50,92,108,92,108,35,485,Ghost,Dark,"Pressure, Infiltrator",Vessel Of Ruin,Spiritomb
Gible,443,58,70,45,40,45,42,300,Dragon,Ground,"Sand Veil, Rough Skin",Arena Trap,"Gible, Gabite, Garchomp, Mega Garchomp"
Gabite,444,68,90,65,50,55,82,410,Dragon,Ground,"Sand Veil, Rough Skin",Arena Trap,"Gible, Gabite, Garchomp, Mega Garchomp"
Garchomp,445,108,130,95,80,85,102,600,Dragon,Ground,"Sand Veil, Rough Skin",Arena Trap,"Gible, Gabite, Garchomp, Mega Garchomp"
Mega Garchomp,445,108,170,115,120,95,92,700,Dragon,Ground,Sand Force,Sand Rush,"Gible, Gabite, Garchomp, Mega Garchomp"
Munchlax,446,135,85,40,40,85,5,390,Normal,,"Pickup, Thick Fat, Gluttony",Cheek Pouch,"Snorlax, Gigantamax Snorlax, Munchlax"
Riolu,447,40,70,40,35,40,60,285,Fighting,,"Steadfast, Inner Focus, Prankster",Minds Eye,"Riolu, Lucario, Mega Lucario"
Lucario,448,70,110,70,115,70,90,525,Fighting,Steel,"Steadfast, Inner Focus, Justified",Minds Eye,"Riolu, Lucario, Mega Lucario"
Mega Lucario,448,70,145,88,140,70,112,625,Fighting,Steel,Adaptability,Minds Eye,"Riolu, Lucario, Mega Lucario"
Hippopotas,449,68,72,78,38,42,32,330,Ground,,"Sand Stream, Sand Force",Unaware,"Hippopotas, Hippowdon"
Hippowdon,450,108,112,118,68,72,47,525,Ground,,"Sand Stream, Sand Force",Unaware,"Hippopotas, Hippowdon"
Skorupi,451,40,50,90,30,55,65,330,Poison,Bug,"Battle Armor, Sniper, Keen Eye",Super Luck,"Skorupi, Drapion"
Drapion,452,70,90,110,60,75,95,500,Poison,Dark,"Battle Armor, Sniper, Keen Eye",Super Luck,"Skorupi, Drapion"
Croagunk,453,48,61,40,61,40,50,300,Poison,Fighting,"Anticipation, Dry Skin, Poison Touch",Moxie,"Croagunk, Toxicroak"
Toxicroak,454,83,106,65,86,65,85,490,Poison,Fighting,"Anticipation, Dry Skin, Poison Touch",Moxie,"Croagunk, Toxicroak"
Carnivine,455,74,100,72,90,72,46,454,Grass,,Levitate,Arena Trap,Carnivine
Finneon,456,49,49,56,49,61,66,330,Water,,"Swift Swim, Storm Drain, Water Veil",Water Bubble,"Finneon, Lumineon"
Lumineon,457,69,69,76,69,86,91,460,Water,,"Swift Swim, Storm Drain, Water Veil",Water Bubble,"Finneon, Lumineon"
Mantyke,458,45,20,50,60,120,50,345,Water,Flying,"Swift Swim, Water Absorb, Water Veil",Unaware,"Mantine, Mantyke"
Snover,459,60,62,50,62,60,40,334,Grass,Ice,"Snow Warning, Soundproof",Slush Rush,"Snover, Abomasnow, Mega Abomasnow"
Abomasnow,460,90,92,75,92,85,60,494,Grass,Ice,"Snow Warning, Soundproof",Slush Rush,"Snover, Abomasnow, Mega Abomasnow"
Mega Abomasnow,460,90,132,105,132,105,30,594,Grass,Ice,Snow Warning,Grassy Surge,"Snover, Abomasnow, Mega Abomasnow"
Weavile,461,70,120,65,45,85,125,510,Dark,Ice,"Pressure, Pickpocket",Tough Claws,"Sneasel, Weavile"
Magnezone,462,70,70,115,130,90,60,535,Electric,Steel,"Magnet Pull, Sturdy, Analytic",Levitate,"Magnemite, Magneton, Magnezone"
Lickilicky,463,110,85,95,80,95,50,515,Normal,,"Own Tempo, Oblivious, Cloud Nine",Cheek Pouch,"Lickitung, Lickilicky"
Rhyperior,464,115,140,130,55,55,40,535,Ground,Rock,"Lightning Rod, Solid Rock, Reckless",Filter,"Rhyhorn, Rhydon, Rhyperior"
Tangrowth,465,100,100,125,110,50,50,535,Grass,,"Chlorophyll, Leaf Guard, Regenerator",Tangling Hair,"Tangela, Tangrowth"
Electivire,466,75,123,67,95,85,95,540,Electric,,"Motor Drive, Vital Spirit",Sheer Force,"Electabuzz, Elekid, Electivire"
Magmortar,467,75,95,67,125,95,83,540,Fire,,"Flame Body, Vital Spirit",Sheer Force,"Magmar, Magby, Magmortar"
Togekiss,468,85,50,95,120,115,80,545,Fairy,Flying,"Hustle, Serene Grace, Super Luck",Pixilate,"Togepi, Togetic, Togekiss"
Yanmega,469,86,76,86,116,56,95,515,Bug,Flying,"Speed Boost, Tinted Lens, Frisk",Sheer Force,"Yanma, Yanmega"
Leafeon,470,65,110,130,60,65,95,525,Grass,,"Leaf Guard, Chlorophyll",Grassy Surge,"Eevee, Partner Eevee, Gigantamax Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon"
Glaceon,471,65,60,110,130,95,65,525,Ice,,"Snow Cloak, Ice Body",Snow Warning,"Eevee, Partner Eevee, Gigantamax Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon"
Gliscor,472,75,95,125,45,75,95,510,Ground,Flying,"Hyper Cutter, Sand Veil, Poison Heal",Toxic Boost,"Gligar, Gliscor"
Mamoswine,473,110,130,80,70,60,80,530,Ice,Ground,"Oblivious, Snow Cloak, Thick Fat",Slush Rush,"Swinub, Piloswine, Mamoswine"
Porygon Z,474,85,80,70,135,75,90,535,Normal,,"Adaptability, Download, Analytic",Protean,"Porygon, Porygon2, Porygon Z"
Gallade,475,68,125,65,65,115,80,518,Psychic,Fighting,"Steadfast, Sharpness, Justified",Neuroforce,"Ralts, Kirlia, Gardevoir, Mega Gardevoir, Gallade, Mega Gallade"
Mega Gallade,475,68,165,95,65,115,110,618,Psychic,Fighting,Inner Focus,Sharpness,"Ralts, Kirlia, Gardevoir, Mega Gardevoir, Gallade, Mega Gallade"
Probopass,476,60,55,145,75,150,40,525,Rock,Steel,"Sturdy, Magnet Pull, Sand Force",Levitate,"Nosepass, Probopass"
Dusknoir,477,45,100,135,65,135,45,525,Ghost,,"Pressure, Frisk",Levitate,"Duskull, Dusclops, Dusknoir"
Froslass,478,70,80,70,80,70,110,480,Ice,Ghost,"Snow Cloak, Cursed Body",Snow Warning,"Snorunt, Glalie, Mega Glalie, Froslass"
Rotom,479,50,50,77,95,77,91,440,Electric,Ghost,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom"
Heat Rotom,479,50,65,107,105,107,86,520,Electric,Fire,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom"
Wash Rotom,479,50,65,107,105,107,86,520,Electric,Water,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom"
Frost Rotom,479,50,65,107,105,107,86,520,Electric,Ice,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom"
Fan Rotom,479,50,65,107,105,107,86,520,Electric,Flying,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom"
Mow Rotom,479,50,65,107,105,107,86,520,Electric,Grass,Levitate,Hadron Engine,"Rotom, Heat Rotom, Wash Rotom, Frost Rotom, Fan Rotom, Mow Rotom"
Uxie,480,75,75,130,75,130,95,580,Psychic,,Levitate,Magic Bounce,Uxie
Mesprit,481,80,105,105,105,105,80,580,Psychic,,Levitate,Moody,Mesprit
Azelf,482,75,125,70,125,70,115,580,Psychic,,Levitate,Neuroforce,Azelf
Dialga,483,100,120,120,150,100,90,680,Steel,Dragon,"Pressure, Telepathy",Berserk,"Dialga, Origin Dialga"
Origin Dialga,483,100,100,120,150,120,90,680,Steel,Dragon,"Pressure, Telepathy",Berserk,"Dialga, Origin Dialga"
Palkia,484,90,120,100,150,120,100,680,Water,Dragon,"Pressure, Telepathy",Berserk,"Palkia, Origin Palkia"
Origin Palkia,484,90,100,100,150,120,120,680,Water,Dragon,"Pressure, Telepathy",Berserk,"Palkia, Origin Palkia"
Heatran,485,91,90,106,130,106,77,600,Fire,Steel,"Flash Fire, Flame Body",Filter,Heatran
Regigigas,486,110,160,110,80,110,100,670,Normal,,"Slow Start, Normalize",Scrappy,Regigigas
Altered Giratina,487,150,100,120,100,120,90,680,Ghost,Dragon,"Pressure, Telepathy",Shadow Shield,"Altered Giratina, Origin Giratina"
Origin Giratina,487,150,120,100,120,100,90,680,Ghost,Dragon,Levitate,Shadow Shield,"Altered Giratina, Origin Giratina"
Cresselia,488,120,70,110,75,120,85,580,Psychic,,Levitate,Shadow Shield,Cresselia
Phione,489,80,80,80,80,80,80,480,Water,,Hydration,Simple,Phione
Manaphy,490,100,100,100,100,100,100,600,Water,,Hydration,Primordial Sea,Manaphy
Darkrai,491,70,90,90,135,90,125,600,Dark,,Bad Dreams,Unnerve,Darkrai
Land Shaymin,492,100,100,100,100,100,100,600,Grass,,Natural Cure,Grassy Surge,"Land Shaymin, Sky Shaymin"
Sky Shaymin,492,100,103,75,120,75,127,600,Grass,Flying,Serene Grace,Delta Stream,"Land Shaymin, Sky Shaymin"
Normal Arceus,493,120,120,120,120,120,120,720,Normal,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Fighting Arceus,493,120,120,120,120,120,120,720,Fighting,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Flying Arceus,493,120,120,120,120,120,120,720,Flying,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Poison Arceus,493,120,120,120,120,120,120,720,Poison,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Ground Arceus,493,120,120,120,120,120,120,720,Ground,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Rock Arceus,493,120,120,120,120,120,120,720,Rock,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Bug Arceus,493,120,120,120,120,120,120,720,Bug,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Ghost Arceus,493,120,120,120,120,120,120,720,Ghost,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Steel Arceus,493,120,120,120,120,120,120,720,Steel,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Fire Arceus,493,120,120,120,120,120,120,720,Fire,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Water Arceus,493,120,120,120,120,120,120,720,Water,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Grass Arceus,493,120,120,120,120,120,120,720,Grass,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Electric Arceus,493,120,120,120,120,120,120,720,Electric,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Psychic Arceus,493,120,120,120,120,120,120,720,Psychic,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Ice Arceus,493,120,120,120,120,120,120,720,Ice,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Dragon Arceus,493,120,120,120,120,120,120,720,Dragon,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Dark Arceus,493,120,120,120,120,120,120,720,Dark,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Fairy Arceus,493,120,120,120,120,120,120,720,Fairy,,Multitype,Adaptability,"Normal Arceus, Fighting Arceus, Flying Arceus, Poison Arceus, Ground Arceus, Rock Arceus, Bug Arceus, Ghost Arceus, Steel Arceus, Fire Arceus, Water Arceus, Grass Arceus, Electric Arceus, Psychic Arceus, Ice Arceus, Dragon Arceus, Dark Arceus, Fairy Arceus"
Victini,494,100,100,100,100,100,100,600,Psychic,Fire,Victory Star,Serene Grace,Victini
Snivy,495,45,45,55,45,55,63,308,Grass,,"Overgrow, Contrary",Multiscale,"Snivy, Servine, Serperior"
Servine,496,60,60,75,60,75,83,413,Grass,,"Overgrow, Contrary",Multiscale,"Snivy, Servine, Serperior"
Serperior,497,75,75,95,75,95,113,528,Grass,,"Overgrow, Contrary",Multiscale,"Snivy, Servine, Serperior"
Tepig,498,65,63,45,45,45,45,308,Fire,,"Blaze, Thick Fat",Gluttony,"Tepig, Pignite, Emboar"
Pignite,499,90,93,55,70,55,55,418,Fire,Fighting,"Blaze, Thick Fat",Rock Head,"Tepig, Pignite, Emboar"
Emboar,500,110,123,65,100,65,65,528,Fire,Fighting,"Blaze, Reckless",Rock Head,"Tepig, Pignite, Emboar"
Oshawott,501,55,55,45,63,45,45,308,Water,,"Torrent, Shell Armor",Mold Breaker,"Oshawott, Dewott, Samurott, Hisui Samurott"
